hour,ambient_c,price_usd_per_kwh,disturbance_mean_c,disturbance_std_c,temp_start_c,power_kw,temp_end_c
0,27.5,0.05,0.0,0.3,-20.0,10.0,-20.25
1,26.3,0.05,0.0,0.3,-20.25,10.0,-20.595
2,25.2,0.05,0.0,0.3,-20.595,10.0,-21.0155
3,24.5,0.05,0.0,0.3,-21.0155,10.0,-21.463949999999997
4,23.8,0.05,0.0,0.3,-21.463949999999997,10.0,-21.937554999999996
5,23.5,0.05,0.0,0.3,-21.937554999999996,10.0,-22.393799499999997
6,24.2,0.1,0.5,0.5,-22.393799499999997,10.0,-22.23441955
7,26.0,0.1,0.5,0.5,-22.23441955,10.0,-21.910977595
8,28.4,0.2,2.0,1.0,-21.910977595,10.0,-19.8798798355
9,31.2,0.2,2.0,1.0,-19.8798798355,10.0,-17.77189185195
10,33.8,0.2,1.0,0.8,-17.77189185195,10.0,-16.614702666754997
11,35.9,0.2,1.0,0.8,-16.614702666754997,10.0,-15.363232400079497
12,37.5,0.2,0.5,0.5,-15.363232400079497,10.0,-14.576909160071548
13,38.7,0.2,0.5,0.5,-14.576909160071548,10.0,-13.74921824406439
14,39.4,0.2,1.5,0.8,-13.74921824406439,10.0,-11.93429641965795
15,39.8,0.2,1.5,0.8,-11.93429641965795,10.0,-10.260866777692154
16,39.5,0.2,2.0,1.0,-10.260866777692154,10.0,-8.284780099922937
17,38.2,0.2,2.0,1.0,-8.284780099922937,10.0,-6.636302089930641
18,36.5,0.1,0.2,0.4,-6.636302089930641,10.0,-7.1226718809375775
19,34.3,0.1,0.2,0.4,-7.1226718809375775,10.0,-7.78040469284382
20,32.1,0.05,0.2,0.4,-7.78040469284382,10.0,-8.59236422355944
21,30.5,0.05,0.2,0.4,-8.59236422355944,10.0,-9.483127801203496
22,29.2,0.05,0.2,0.4,-9.483127801203496,10.0,-10.414815021083147
23,28.3,0.05,0.2,0.4,-10.414815021083147,10.0,-11.343333518974832
