hour,ambient_c,price_usd_per_kwh,disturbance_mean_c,disturbance_std_c,temp_start_c,power_kw,temp_end_c
0,5.2,0.05,0.0,0.3,-20.0,0.0,-17.48
1,4.6,0.05,0.0,0.3,-17.48,1.0,-15.922
2,4.0,0.05,0.0,0.3,-15.922,3.0,-15.8798
3,3.5,0.05,0.0,0.3,-15.8798,7.5,-18.81682
4,3.0,0.05,0.0,0.3,-18.81682,7.5,-21.510138
5,2.8,0.05,0.0,0.3,-21.510138,7.5,-23.954124200000003
6,3.2,0.1,0.5,0.5,-23.954124200000003,3.0,-22.688711780000002
7,4.5,0.1,0.5,0.5,-22.688711780000002,7.0,-24.019840602000002
8,6.3,0.2,2.0,1.0,-24.019840602000002,0.0,-18.987856541800003
9,8.7,0.2,2.0,1.0,-18.987856541800003,5.5,-17.794070887620002
10,11.2,0.2,1.0,0.8,-17.794070887620002,6.0,-17.794663798858004
11,13.5,0.2,1.0,0.8,-17.794663798858004,7.5,-18.540197418972205
12,15.3,0.2,0.5,0.5,-18.540197418972205,7.5,-19.531177677074986
13,16.8,0.2,0.5,0.5,-19.531177677074986,7.5,-20.273059909367486
14,17.5,0.2,1.5,0.8,-20.273059909367486,7.5,-19.870753918430736
15,17.8,0.2,1.5,0.8,-19.870753918430736,7.5,-19.478678526587665
16,17.2,0.2,2.0,1.0,-19.478678526587665,7.5,-18.6858106739289
17,16.0,0.2,2.0,1.0,-18.6858106739289,7.0,-17.76722960653601
18,14.3,0.1,0.2,0.4,-17.76722960653601,2.5,-15.98550664588241
19,12.5,0.1,0.2,0.4,-15.98550664588241,5.0,-16.18695598129417
20,10.2,0.05,0.2,0.4,-16.18695598129417,4.5,-16.273260383164754
21,8.4,0.05,0.2,0.4,-16.273260383164754,7.0,-18.15593434484828
22,7.0,0.05,0.2,0.4,-18.15593434484828,7.5,-20.315340910363453
23,6.0,0.05,0.2,0.4,-20.315340910363453,6.0,-21.38380681932711
