hour,ambient_c,price_usd_per_kwh,disturbance_mean_c,disturbance_std_c,temp_start_c,power_kw,temp_end_c
0,27.5,0.05,0.0,0.3,-20.0,1.0,-15.9
1,26.3,0.05,0.0,0.3,-15.9,6.5,-15.905000000000001
2,25.2,0.05,0.0,0.3,-15.905000000000001,6.5,-16.0195
3,24.5,0.05,0.0,0.3,-16.0195,10.0,-18.46755
4,23.8,0.05,0.0,0.3,-18.46755,11.0,-21.390794999999997
5,23.5,0.05,0.0,0.3,-21.390794999999997,10.5,-23.726715499999997
6,24.2,0.1,0.5,0.5,-23.726715499999997,6.5,-22.659043949999997
7,26.0,0.1,0.5,0.5,-22.659043949999997,10.0,-23.793139554999996
8,28.4,0.2,2.0,1.0,-23.793139554999996,4.0,-19.1738255995
9,31.2,0.2,2.0,1.0,-19.1738255995,11.0,-19.28644303955
10,33.8,0.2,1.0,0.8,-19.28644303955,11.0,-20.127798735595
11,35.9,0.2,1.0,0.8,-20.127798735595,11.0,-20.6750188620355
12,37.5,0.2,0.5,0.5,-20.6750188620355,11.0,-21.507516975831948
13,38.7,0.2,0.5,0.5,-21.507516975831948,11.0,-22.136765278248753
14,39.4,0.2,1.5,0.8,-22.136765278248753,11.0,-21.63308875042388
15,39.8,0.2,1.5,0.8,-21.63308875042388,11.0,-21.139779875381493
16,39.5,0.2,2.0,1.0,-21.139779875381493,11.0,-20.225801887843346
17,38.2,0.2,2.0,1.0,-20.225801887843346,8.5,-17.908221699059013
18,36.5,0.1,0.2,0.4,-17.908221699059013,6.0,-16.167399529153112
19,34.3,0.1,0.2,0.4,-16.167399529153112,8.0,-16.120659576237802
20,32.1,0.05,0.2,0.4,-16.120659576237802,8.0,-16.29859361861402
21,30.5,0.05,0.2,0.4,-16.29859361861402,10.5,-18.243734256752617
22,29.2,0.05,0.2,0.4,-18.243734256752617,10.5,-20.124360831077354
23,28.3,0.05,0.2,0.4,-20.124360831077354,10.0,-21.58192474796962
