hour,ambient_c,price_usd_per_kwh,disturbance_mean_c,disturbance_std_c,temp_start_c,power_kw,temp_end_c
0,14.8,0.05,0.0,0.3,-20.0,0.0,-16.52
1,14.5,0.05,0.0,0.3,-16.52,4.0,-16.018
2,14.2,0.05,0.0,0.3,-16.018,8.0,-18.1962
3,13.9,0.05,0.0,0.3,-18.1962,8.0,-20.18658
4,13.7,0.05,0.0,0.3,-20.18658,8.0,-21.997922
5,13.5,0.05,0.0,0.3,-21.997922,8.0,-23.648129799999996
6,13.7,0.1,0.5,0.5,-23.648129799999996,6.5,-23.638316819999996
7,14.2,0.1,0.5,0.5,-23.638316819999996,7.0,-23.904485138
8,15.0,0.2,2.0,1.0,-23.904485138,1.5,-18.9890366242
9,16.1,0.2,2.0,1.0,-18.9890366242,7.0,-18.03013296178
10,17.3,0.2,1.0,0.8,-18.03013296178,6.5,-17.722119665602
11,18.2,0.2,1.0,0.8,-17.722119665602,7.5,-18.0049076990418
12,19.0,0.2,0.5,0.5,-18.0049076990418,8.0,-19.004416929137623
13,19.6,0.2,0.5,0.5,-19.004416929137623,8.0,-19.84397523622386
14,20.0,0.2,1.5,0.8,-19.84397523622386,8.0,-19.559577712601474
15,20.2,0.2,1.5,0.8,-19.559577712601474,8.0,-19.28361994134133
16,19.8,0.2,2.0,1.0,-19.28361994134133,8.0,-18.575257947207195
17,19.0,0.2,2.0,1.0,-18.575257947207195,7.5,-17.692732152486478
18,18.1,0.1,0.2,0.4,-17.692732152486478,3.5,-16.18845893723783
19,17.0,0.1,0.2,0.4,-16.18845893723783,5.5,-16.244613043514047
20,16.2,0.05,0.2,0.4,-16.244613043514047,8.0,-18.000151739162643
21,15.7,0.05,0.2,0.4,-18.000151739162643,8.0,-19.630136565246378
22,15.3,0.05,0.2,0.4,-19.630136565246378,7.5,-20.81212290872174
23,15.0,0.05,0.2,0.4,-20.81212290872174,7.0,-21.580910617849568
